Sample,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_iners,Prevotella_bivia,Sneathia_amnii,Streptococcus_agalactiae
s1-1,0,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333
s1-10,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0
s1-11,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0
s1-12,0.5,0,0,0,0.5,0,0
s1-13,0,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0
s1-14,0,0,0.5,0,0,0,0.5
s1-15,0.3333333333333333,0,0,0.3333333333333333,0,0,0.3333333333333333
s1-16,0,0,0,0.5,0,0.5,0
s1-17,0,0,0,0,0,0,1
s1-18,0,0.5,0.5,0,0,0,0
s1-19,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
s1-2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0
s1-20,0,0,0,0,0.5,0,0.5
s1-21,0.3333333333333333,0,0,0,0.3333333333333333,0,0.3333333333333333
s1-22,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333,0
s1-23,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
s1-24,0,0.3333333333333333,0,0,0,0.3333333333333333,0.3333333333333333
s1-25,0,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333
s1-26,0,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333
s1-27,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0
s1-28,0,0,1,0,0,0,0
s1-29,0,0.5,0,0,0,0.5,0
s1-3,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,0
s1-30,0,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0
s1-31,0,0,0,0.5,0.5,0,0
s1-32,0.5,0,0.5,0,0,0,0
s1-33,0,0,0.5,0.5,0,0,0
s1-34,1,0,0,0,0,0,0
s1-35,0,0.25,0,0.25,0.25,0.25,0
s1-36,0,0,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333
s1-37,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333
s1-38,0,0,0,0,0.5,0.5,0
s1-39,0,0.5,0,0.5,0,0,0
s1-4,0.3333333333333333,0,0.3333333333333333,0,0,0,0.3333333333333333
s1-40,0,0,0.5,0,0,0.5,0
s1-5,0,0.5,0,0,0.5,0,0
s1-6,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0
s1-7,0.5,0,0,0,0,0,0.5
s1-8,0,0.5,0,0,0,0,0.5
s1-9,0.3333333333333333,0,0,0,0,0.3333333333333333,0.3333333333333333
s2-1,0,0,0,0,0,0,1
s2-10,0,0,0,0,0,1,0
s2-11,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333
s2-12,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333
s2-13,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0
s2-14,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
s2-15,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
s2-16,0,0,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333
s2-17,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0
s2-18,1,0,0,0,0,0,0
s2-19,0,0,0.5,0.5,0,0,0
s2-2,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333
s2-20,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0
s2-21,0,0,0.5,0,0,0,0.5
s2-22,0,0,0,0,1,0,0
s2-23,0.5,0,0,0,0.5,0,0
s2-24,0,0,0,1,0,0,0
s2-25,0,0,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333
s2-26,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0
s2-27,0.3333333333333333,0,0,0.3333333333333333,0,0,0.3333333333333333
s2-28,0,0,0.5,0,0.5,0,0
s2-29,0,0,0,0.5,0,0,0.5
s2-3,0,0.3333333333333333,0,0,0,0.3333333333333333,0.3333333333333333
s2-30,0,0,0.5,0,0,0.5,0
s2-31,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0
s2-32,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
s2-33,0,0,0,0,0,0.5,0.5
s2-34,0.3333333333333333,0,0,0,0.3333333333333333,0.3333333333333333,0
s2-35,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0,0
s2-36,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
s2-37,0,1,0,0,0,0,0
s2-38,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
s2-39,0.5,0.5,0,0,0,0,0
s2-4,0.5,0,0,0,0,0.5,0
s2-40,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0
s2-5,0.5,0,0,0.5,0,0,0
s2-6,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0
s2-7,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
s2-8,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0
s2-9,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0
