Sample,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_iners,Prevotella_bivia,Sneathia_amnii,Streptococcus_agalactiae,Other
s1-1,1,1,13670,0,7544,1,1506,7
s1-10,1028,0,10310,2,1,14947,2,3
s1-11,0,181,3956,7598,6,2,0,2
s1-12,1424,0,0,1,21708,7,0,8
s1-13,0,0,3199,0,1854,6501,0,3
s1-14,0,0,9348,2,0,3,1475,10
s1-15,572,0,1,7493,1,3,466,4
s1-16,0,0,1,3849,0,3590,4,2
s1-17,2,1,19,4,1,14,51332,206
s1-18,0,865,9892,0,0,0,0,7
s1-19,0,0,0,9138,4339,2,468,3
s1-2,2930,1650,22645,0,1,1,4,8
s1-20,0,0,4,5,16249,5,1937,6
s1-21,1232,0,1,3,9639,2,1249,5
s1-22,361,0,0,7117,0,6229,1,0
s1-23,351,203,2463,4886,1460,4798,281,1
s1-24,1,621,0,1,2,16454,906,1
s1-25,0,787,4,21869,0,355,1100,2
s1-26,0,1007,3,1,10761,0,1217,3
s1-27,0,522,9194,1,5792,3,2,6
s1-28,0,0,21759,0,1,7,1,5
s1-29,2,1020,1,1,0,23306,0,11
s1-3,2073,1514,3,1,15772,0,1,16
s1-30,1,283,4740,4,0,12702,0,2
s1-31,1,0,6,8471,3555,0,2,0
s1-32,1172,0,9825,0,0,1,1,1
s1-33,3,0,4192,9087,0,0,1,2
s1-34,13370,0,0,3,2,4,0,18
s1-35,1,267,0,8329,3190,5445,5,1
s1-36,1,0,0,5821,1,6622,308,0
s1-37,5493,2422,0,2,0,1,4971,20
s1-38,3,1,0,3,4677,9272,0,0
s1-39,1,275,3,8890,0,1,0,0
s1-4,2217,0,16037,0,5,30,1557,8
s1-40,1,0,2292,0,0,5974,0,1
s1-5,0,754,3,0,14670,3,0,5
s1-6,500,1,2,9866,4318,0,0,2
s1-7,7782,1,0,0,0,0,6678,14
s1-8,2,3307,0,0,3,2,3252,13
s1-9,1403,0,0,0,0,15119,1085,6
s2-1,0,0,176,9,2,15,24437,6
s2-10,1,0,1,2,0,22682,1,1
s2-11,0,570,10690,3,0,3,1143,4
s2-12,7170,2642,7,7,0,47,9387,45
s2-13,1245,3,11969,18,7303,1,1,1
s2-14,511,308,2256,4175,1648,4707,259,2
s2-15,0,0,0,4,5126,13714,649,1
s2-16,0,0,4288,8703,0,0,533,4
s2-17,837,523,0,13121,0,0,0,4
s2-18,12395,0,2,2,0,124,1,18
s2-19,0,0,3427,7517,0,1,0,1
s2-2,0,0,6497,1,0,11854,679,2
s2-20,1730,956,11699,5,1,4,6,2
s2-21,0,3,10777,3,4,0,1160,1
s2-22,0,0,3,3,15696,1,0,0
s2-23,2261,0,1,0,12096,0,6,2
s2-24,0,0,0,14783,0,2,0,0
s2-25,2,2,3,12498,0,13504,733,0
s2-26,0,0,4775,11234,3249,1,0,5
s2-27,424,0,0,7120,0,1,447,6
s2-28,0,1,10682,0,7253,1,1,2
s2-29,2,0,3,15628,1,4,771,3
s2-3,1,714,2,1,0,19831,924,4
s2-30,0,0,6294,3,0,17503,0,6
s2-31,615,2,4552,7,3,9467,1,1
s2-32,1,0,0,10509,3685,10047,0,3
s2-33,0,0,4,10,1,24914,1189,5
s2-34,569,0,0,1,4261,12493,0,1
s2-35,441,0,3461,7611,1,7,0,0
s2-36,0,232,0,7,2532,10118,0,0
s2-37,0,4770,5,7,0,0,1,9
s2-38,0,192,0,6962,1,6399,0,0
s2-39,14324,8200,4,4,35,5,1,23
s2-4,1449,0,14,9,6,20636,0,0
s2-40,0,0,2286,5677,0,6239,0,3
s2-5,883,0,0,14212,7,11,0,2
s2-6,1533,1021,12,1,1,17227,1,4
s2-7,0,0,1,12725,4926,3,663,4
s2-8,0,746,3,20551,7766,2,0,4
s2-9,0,491,9872,0,6410,0,0,10
