Sample,Plate,Barcode,Mixture_type,Num_species,Species_list
s1-1,1,1,Cells,3,Lactobacillus_crispatus;Prevotella_bivia;Streptococcus_agalactiae
s1-2,1,2,Cells,3,Gardnerella_vaginalis;Atopobium_vaginae;Lactobacillus_crispatus
s1-3,1,3,Cells,3,Gardnerella_vaginalis;Atopobium_vaginae;Prevotella_bivia
s1-4,1,4,Cells,3,Atopobium_vaginae;Lactobacillus_crispatus;Streptococcus_agalactiae
s1-5,1,5,Cells,2,Gardnerella_vaginalis;Prevotella_bivia
s1-6,1,6,Cells,3,Atopobium_vaginae;Lactobacillus_iners;Prevotella_bivia
s1-7,1,7,Cells,2,Atopobium_vaginae;Streptococcus_agalactiae
s1-8,1,8,Cells,2,Gardnerella_vaginalis;Streptococcus_agalactiae
s1-9,1,9,Cells,3,Atopobium_vaginae;Sneathia_amnii;Streptococcus_agalactiae
s1-10,1,10,Cells,3,Atopobium_vaginae;Lactobacillus_crispatus;Sneathia_amnii
s1-11,1,11,Cells,3,Gardnerella_vaginalis;Lactobacillus_crispatus;Lactobacillus_iners
s1-12,1,12,Cells,2,Atopobium_vaginae;Prevotella_bivia
s1-13,1,13,Cells,3,Lactobacillus_crispatus;Prevotella_bivia;Sneathia_amnii
s1-14,1,14,Cells,2,Lactobacillus_crispatus;Streptococcus_agalactiae
s1-15,1,15,Cells,3,Atopobium_vaginae;Lactobacillus_iners;Streptococcus_agalactiae
s1-16,1,16,Cells,2,Lactobacillus_iners;Sneathia_amnii
s1-17,1,17,Cells,1,Streptococcus_agalactiae
s1-18,1,18,Cells,2,Gardnerella_vaginalis;Lactobacillus_crispatus
s1-19,1,19,Cells,3,Lactobacillus_iners;Prevotella_bivia;Streptococcus_agalactiae
s1-20,1,20,Cells,2,Prevotella_bivia;Streptococcus_agalactiae
s1-21,1,21,Cells,3,Atopobium_vaginae;Prevotella_bivia;Streptococcus_agalactiae
s1-22,1,22,Cells,3,Atopobium_vaginae;Lactobacillus_iners;Sneathia_amnii
s1-23,1,23,Cells,7,Gardnerella_vaginalis;Atopobium_vaginae;Lactobacillus_crispatus;Lactobacillus_iners;Prevotella_bivia;Sneathia_amnii;Streptococcus_agalactiae
s1-24,1,24,Cells,3,Gardnerella_vaginalis;Sneathia_amnii;Streptococcus_agalactiae
s1-25,1,25,Cells,3,Gardnerella_vaginalis;Lactobacillus_iners;Streptococcus_agalactiae
s1-26,1,26,Cells,3,Gardnerella_vaginalis;Prevotella_bivia;Streptococcus_agalactiae
s1-27,1,27,Cells,3,Gardnerella_vaginalis;Lactobacillus_crispatus;Prevotella_bivia
s1-28,1,28,Cells,1,Lactobacillus_crispatus
s1-29,1,29,Cells,2,Gardnerella_vaginalis;Sneathia_amnii
s1-30,1,30,Cells,3,Gardnerella_vaginalis;Lactobacillus_crispatus;Sneathia_amnii
s1-31,1,31,Cells,2,Lactobacillus_iners;Prevotella_bivia
s1-32,1,32,Cells,2,Atopobium_vaginae;Lactobacillus_crispatus
s1-33,1,33,Cells,2,Lactobacillus_crispatus;Lactobacillus_iners
s1-34,1,34,Cells,1,Atopobium_vaginae
s1-35,1,35,Cells,4,Gardnerella_vaginalis;Lactobacillus_iners;Prevotella_bivia;Sneathia_amnii
s1-36,1,36,Cells,3,Lactobacillus_iners;Sneathia_amnii;Streptococcus_agalactiae
s1-37,1,37,Cells,3,Gardnerella_vaginalis;Atopobium_vaginae;Streptococcus_agalactiae
s1-38,1,38,Cells,2,Prevotella_bivia;Sneathia_amnii
s1-39,1,39,Cells,2,Gardnerella_vaginalis;Lactobacillus_iners
s1-40,1,40,Cells,2,Lactobacillus_crispatus;Sneathia_amnii
s2-1,2,1,Cells,1,Streptococcus_agalactiae
s2-2,2,2,Cells,3,Lactobacillus_crispatus;Sneathia_amnii;Streptococcus_agalactiae
s2-3,2,3,Cells,3,Gardnerella_vaginalis;Sneathia_amnii;Streptococcus_agalactiae
s2-4,2,4,Cells,2,Atopobium_vaginae;Sneathia_amnii
s2-5,2,5,Cells,2,Atopobium_vaginae;Lactobacillus_iners
s2-6,2,6,Cells,3,Gardnerella_vaginalis;Atopobium_vaginae;Sneathia_amnii
s2-7,2,7,Cells,3,Lactobacillus_iners;Prevotella_bivia;Streptococcus_agalactiae
s2-8,2,8,Cells,3,Gardnerella_vaginalis;Lactobacillus_iners;Prevotella_bivia
s2-9,2,9,Cells,3,Gardnerella_vaginalis;Lactobacillus_crispatus;Prevotella_bivia
s2-10,2,10,Cells,1,Sneathia_amnii
s2-11,2,11,Cells,3,Gardnerella_vaginalis;Lactobacillus_crispatus;Streptococcus_agalactiae
s2-12,2,12,Cells,3,Gardnerella_vaginalis;Atopobium_vaginae;Streptococcus_agalactiae
s2-13,2,13,Cells,3,Atopobium_vaginae;Lactobacillus_crispatus;Prevotella_bivia
s2-14,2,14,Cells,7,Gardnerella_vaginalis;Atopobium_vaginae;Lactobacillus_crispatus;Lactobacillus_iners;Prevotella_bivia;Sneathia_amnii;Streptococcus_agalactiae
s2-15,2,15,Cells,3,Prevotella_bivia;Sneathia_amnii;Streptococcus_agalactiae
s2-16,2,16,Cells,3,Lactobacillus_crispatus;Lactobacillus_iners;Streptococcus_agalactiae
s2-17,2,17,Cells,3,Gardnerella_vaginalis;Atopobium_vaginae;Lactobacillus_iners
s2-18,2,18,Cells,1,Atopobium_vaginae
s2-19,2,19,Cells,2,Lactobacillus_crispatus;Lactobacillus_iners
s2-20,2,20,Cells,3,Gardnerella_vaginalis;Atopobium_vaginae;Lactobacillus_crispatus
s2-21,2,21,Cells,2,Lactobacillus_crispatus;Streptococcus_agalactiae
s2-22,2,22,Cells,1,Prevotella_bivia
s2-23,2,23,Cells,2,Atopobium_vaginae;Prevotella_bivia
s2-24,2,24,Cells,1,Lactobacillus_iners
s2-25,2,25,Cells,3,Lactobacillus_iners;Sneathia_amnii;Streptococcus_agalactiae
s2-26,2,26,Cells,3,Lactobacillus_crispatus;Lactobacillus_iners;Prevotella_bivia
s2-27,2,27,Cells,3,Atopobium_vaginae;Lactobacillus_iners;Streptococcus_agalactiae
s2-28,2,28,Cells,2,Lactobacillus_crispatus;Prevotella_bivia
s2-29,2,29,Cells,2,Lactobacillus_iners;Streptococcus_agalactiae
s2-30,2,30,Cells,2,Lactobacillus_crispatus;Sneathia_amnii
s2-31,2,31,Cells,3,Atopobium_vaginae;Lactobacillus_crispatus;Sneathia_amnii
s2-32,2,32,Cells,3,Lactobacillus_iners;Prevotella_bivia;Sneathia_amnii
s2-33,2,33,Cells,2,Sneathia_amnii;Streptococcus_agalactiae
s2-34,2,34,Cells,3,Atopobium_vaginae;Prevotella_bivia;Sneathia_amnii
s2-35,2,35,Cells,3,Atopobium_vaginae;Lactobacillus_crispatus;Lactobacillus_iners
s2-36,2,36,Cells,3,Gardnerella_vaginalis;Prevotella_bivia;Sneathia_amnii
s2-37,2,37,Cells,1,Gardnerella_vaginalis
s2-38,2,38,Cells,3,Gardnerella_vaginalis;Lactobacillus_iners;Sneathia_amnii
s2-39,2,39,Cells,2,Gardnerella_vaginalis;Atopobium_vaginae
s2-40,2,40,Cells,3,Lactobacillus_crispatus;Lactobacillus_iners;Sneathia_amnii
